p,df,pattern,eps,min_var,max_var,q95_profile,q95_chi,q95_gap_chi_minus_profile,profile_tail_at_chi_q95,chi_tail_at_profile_q95,tail_gap_at_chi_q95,trace,trace_over_df,lambda_min,lambda_max,lambda_sd,imag_max
6,14,half,0.5,0.5,1.5,16.817834507681575,23.68479130484058,6.8669567971590055,0.008820975430601723,0.26601556536788534,-0.04117902456939828,8.13894738147081,0.5813533843907722,0.03999999990170379,1.9600000020285384,0.6218839133048369,1.2412670766236366e-16
6,14,alternating,0.5,0.5,1.5,16.81783450768159,23.68479130484058,6.866956797158991,0.008820975430601782,0.2660155653678844,-0.04117902456939822,8.138947381470809,0.581353384390772,0.03999999990170399,1.9600000020285382,0.621883913304837,0.0
5,9,alternating,0.5,0.5,1.3333333333333335,11.472070077377026,16.91897760462045,5.446907527243425,0.009759617901654027,0.24473257273699497,-0.040240382098345975,5.049992254774825,0.5611102505305361,0.0010405827052971171,1.9624621834270952,0.5599363241513936,0.0
5,9,half,0.7,0.5333333333333333,1.7,12.107999663843692,16.91897760462045,4.810977940776759,0.01127448862594376,0.20728906667772137,-0.03872551137405624,5.298458030383621,0.5887175589315135,0.0897800640327487,1.6113577362258023,0.5757394543877387,0.0
4,5,linear,0.5,0.5,1.5,7.801701349976689,11.070497693516351,3.2687963435396625,0.01315643346031791,0.16750819299194486,-0.03684356653968209,2.961268673516905,0.5922537347033809,0.03484333343417827,1.3975764881098804,0.5070989121560541,0.0
4,5,spike_lo,0.5,0.5,1.1666666666666667,7.968470577658875,11.070497693516351,3.102027115857476,0.014048278588220706,0.15798185772000686,-0.0359517214117793,2.996675900362962,0.5993351800725925,0.06925207777075623,1.221606648056181,0.523529278931573,0.0
5,9,linear,0.5,0.5,1.5,13.222723718255697,16.91897760462045,3.6962538863647545,0.016799331556023152,0.1527845100461751,-0.03320066844397685,5.900888716066419,0.6556543017851576,0.01869393036589219,1.89630357857267,0.6084578262354161,0.0
6,14,linear,0.5,0.5,1.5,19.405823739826104,23.68479130484058,4.278967565014476,0.018133562509818,0.1500146132693742,-0.031866437490182004,9.717548913437126,0.6941106366740805,0.013672881932215332,2.3010162806257854,0.6677160654605845,0.0
5,9,spike_lo,0.5,0.5,1.125,13.679777551078864,16.91897760462045,3.2392000535415875,0.019363819768806023,0.134180795815363,-0.03063618023119398,6.0451843075788405,0.6716871452865378,0.14387633804781527,1.5410225925522245,0.6378015678961371,0.0
5,9,half,0.5,0.6666666666666666,1.5,13.983676689816228,16.91897760462045,2.9353009148042233,0.02099172693026037,0.12290706572623641,-0.029008273069739632,6.522895179035143,0.7247661310039049,0.023799500641938833,1.6664462821126473,0.5571282432352009,0.0
