"cell_id","distribution","truth","n_group1","missing_rate","rep","fit_ok","flip_ok","nested_ok","fit_error","flip_error","nested_error"
28,"pl","power",50,0.3,50,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 15.583172, max |eigen| 3022269342751416470441637495846207488.000000, tol 302226934275141655817355264.000000, min eigen -3842818737020759601949179904.000000, max eigen 3022269342751416470441637495846207488.000000)"
28,"pl","power",50,0.3,58,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=1.87667: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
28,"pl","power",50,0.3,70,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 10000 iters, f=0.505218: FIML H1 EM: block 2 reached the iteration cap (10000); final max parameter change = 1.713091e-05, final objective change = 3.293254e-07, objective gate met","",""
28,"pl","power",50,0.3,82,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=1.22989: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
28,"pl","power",50,0.3,93,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=1.47937: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
32,"pl","power",100,0.3,20,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=1.92565: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
32,"pl","power",100,0.3,36,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=1.97796: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
32,"pl","power",100,0.3,100,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=1.45631: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
36,"pl","power",200,0.3,12,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 0.000000, max |eigen| 49567088188116189184.000000, tol 4956708818.811619, min eigen -0.012302, max eigen 49567088188116189184.000000)"
36,"pl","power",200,0.3,13,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 0.000011, max |eigen| 9340068.040219, tol 0.000934, min eigen 0.000011, max eigen 9340068.040219)"
36,"pl","power",200,0.3,30,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=2.03603: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
36,"pl","power",200,0.3,62,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 0.000000, max |eigen| 24936616023920864.000000, tol 2493661.602392, min eigen 0.000000, max eigen 24936616023920864.000000)"
