"rep","fit_ok","flip_ok","fmg_ok","fit_error","flip_error","fmg_error","draw_seconds","fit_seconds","flip_seconds","fmg_seconds","total_seconds","flip_setup_seconds","flip_score_seconds","standardization_setup_seconds","flip_standardization_seconds","standardization_available","empirical_eigen_min","empirical_eigen_mean","empirical_eigen_cv","empirical_eigen_ratio","empirical_identity_distance","rls_statistic","flip_rls_abs_difference","p_flip_effective","p_flip_standardized","p_flip_standardized_chisq","p_gof_std_ml","p_gof_sb_ml","p_gof_mv_ml","p_gof_ss_ml","p_gof_peba4_ml","p_gof_all_ml","p_gof_std_rls","p_gof_sb_rls","p_gof_mv_rls","p_gof_ss_rls","p_gof_peba4_rls","p_gof_all_rls","p","n","distribution","truth","df","n_over_df","rho","cell_id"
58,TRUE,TRUE,TRUE,"","","",0,0.00100000000000033,0.00099999999999989,0.00300000000000011,0.00600000000000023,0,0.00099999999999989,0,0,TRUE,0.636455084493956,1.00224853222826,0.256099405757856,2.00820171027488,0.229588337062274,21.2328412111186,8.88178419700125e-14,0.005,0.005,0.000269625314405307,0.000825158685669803,0.000764039673484002,0.000980276864301271,0.000917916394712919,0.000848892121375726,0.00113036053627278,0.000731971698815569,0.000676977594676651,0.000873423779586432,0.000816159849065501,0.00075474856561554,0.00101325826263048,5,400,"normal","power",5,80,0.25,11
59,TRUE,TRUE,TRUE,"","","",0.00099999999999989,0.00099999999999989,0.00200000000000022,0.00300000000000011,0.00800000000000001,0,0.00200000000000022,0,0,TRUE,0.644269593147729,1.00467483420266,0.349031626754527,2.30627526216747,0.31367762020039,32.7590355908736,6.3948846218409e-14,0.005,0.005,9.89575663634821e-05,6.39805198028766e-06,5.38737074781135e-06,1.17270778120384e-05,9.11757254885214e-06,8.63714535565117e-06,2.56709215030599e-05,4.20160865171511e-06,3.51874124467094e-06,7.91647561770593e-06,6.07193302729409e-06,5.81419469283581e-06,1.83015336994455e-05,5,400,"normal","power",5,80,0.25,11
60,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00300000000000011,0.00300000000000011,0.00800000000000001,0.00100000000000033,0.00199999999999978,0,0,TRUE,0.625821210949637,1.03705370676597,0.332399624552868,2.4014564188278,0.310542136657305,45.6579302057412,3.50013351635425e-11,0.005,0.005,3.62717581164199e-06,2.45327979734208e-08,3.27029663547364e-08,9.00049701837081e-08,6.26097173539876e-08,6.76673734341592e-08,3.17048203250835e-07,1.06613198268953e-08,1.43899490988542e-08,4.18765739437783e-08,2.84347232957055e-08,3.15965555323904e-08,1.6418456633353e-07,5,400,"normal","power",5,80,0.25,11
61,TRUE,TRUE,TRUE,"","","",0,0.00100000000000033,0.00199999999999978,0.00099999999999989,0.00499999999999989,0,0.00099999999999989,0,0,TRUE,0.776741757399119,0.968110453497176,0.212637628028151,1.58742726265113,0.186865008449297,13.0144851238072,7.88702436693711e-13,0.03,0.035,0.0199359574100409,0.0247877498877547,0.020171229884363,0.0216415865613915,0.021407610935663,0.0205917399159221,0.0219361059509261,0.0232434042919557,0.0188556594468113,0.0202691978857245,0.0200382860103319,0.0192653399789981,0.0205756990048431,5,400,"normal","power",5,80,0.25,11
62,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00099999999999989,0.00200000000000022,0.00500000000000034,0,0.00099999999999989,0,0,TRUE,0.745056556441134,0.970727288177424,0.244600562117688,1.78228321717803,0.214381113507641,21.8104387158334,3.37507799486048e-13,0.005,0.005,0.00216924984223103,0.000794149706652154,0.00054070053025697,0.000670419190254656,0.000632341296022538,0.000596123407888768,0.00080770427574354,0.000568869406948229,0.000381235215116679,0.00047894253818217,0.000449486037828098,0.000424238873927156,0.00059084430512858,5,400,"normal","power",5,80,0.25,11
63,TRUE,TRUE,TRUE,"","","",0,0.00200000000000022,0.00199999999999978,0.00300000000000011,0.0089999999999999,0,0.00199999999999978,0,0,TRUE,0.691432317233904,1.0472918696895,0.250150498500592,1.91089351478193,0.239047237488035,21.5962875534695,2.67519340013678e-12,0.005,0.005,0.000597490152932888,0.000397701377313772,0.000563898981062613,0.000721977901414909,0.000675354034852013,0.000625760526564969,0.00084260889716432,0.000624668328000817,0.000869965254834216,0.0010931649881989,0.00102977698640146,0.000954494832989948,0.00124886193726606,5,400,"normal","power",5,80,0.25,11
64,TRUE,TRUE,TRUE,"","","",0,0.00200000000000022,0.00199999999999978,0.00200000000000022,0.00700000000000012,0,0.00199999999999978,0,0,TRUE,0.608136516703413,0.966388394124344,0.283424170462797,2.13112635792836,0.247276680283785,34.8973671915335,5.18696197104873e-13,0.005,0.005,2.85744577578389e-05,4.65222566043291e-06,2.08769256230391e-06,3.64264988530643e-06,3.02188881963844e-06,3.03002053791373e-06,6.85043933345931e-06,1.57730317290097e-06,6.64446238814476e-07,1.22902945445714e-06,9.94791205176252e-07,1.02370014028987e-06,2.58253364108096e-06,5,400,"normal","power",5,80,0.25,11
65,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00199999999999978,0.00300000000000011,0.00800000000000001,0,0.00199999999999978,0,0,TRUE,0.667909046867277,0.907089998706421,0.228011861162807,1.76001393765533,0.207012770042452,15.1030690421458,2.48689957516035e-13,0.005,0.025,0.0238844989859634,0.0130348095691664,0.00669033853414439,0.00744179985832151,0.00727987756007151,0.00695578383700178,0.00777303626662088,0.0099308997479232,0.00491619580488234,0.0055209159892998,0.00538326127322668,0.00513868204312458,0.00582622069489322,5,400,"normal","power",5,80,0.25,11
66,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00199999999999978,0.00500000000000034,0.0100000000000002,0,0.00199999999999978,0,0,TRUE,0.655455029952584,1.01810340861147,0.339323186377036,2.25094194565457,0.309524135330108,24.4156737292611,1.17239551400417e-13,0.01,0.015,0.00163838985138494,0.00027027496022598,0.000287211753968467,0.000453326499675074,0.000399463268685941,0.000363350981337048,0.00062942188902138,0.000180603759315728,0.000192429621542718,0.000312649193582094,0.000272464854365565,0.000249016461012674,0.000451224638228328,5,400,"normal","power",5,80,0.25,11
67,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00199999999999978,0.00300000000000011,0.00800000000000001,0,0.00199999999999978,0,0,TRUE,0.627321166416806,0.944728170498528,0.305538905874303,2.02901281187696,0.2640276362159,19.938603511984,2.87769807982841e-13,0.01,0.015,0.00410580227534632,0.00186627674207201,0.00105127680518793,0.0014200162396737,0.00131528250668311,0.00117866490694124,0.00167071545735258,0.00128332055789488,0.000701561324706346,0.000970447758674499,0.000891007953091213,0.000797489293641764,0.00117083754369513,5,400,"normal","power",5,80,0.25,11
