"rep","fit_ok","flip_ok","fmg_ok","fit_error","flip_error","fmg_error","draw_seconds","fit_seconds","flip_seconds","fmg_seconds","total_seconds","flip_setup_seconds","flip_score_seconds","standardization_setup_seconds","flip_standardization_seconds","standardization_available","empirical_eigen_min","empirical_eigen_mean","empirical_eigen_cv","empirical_eigen_ratio","empirical_identity_distance","rls_statistic","flip_rls_abs_difference","p_flip_effective","p_flip_standardized","p_flip_standardized_chisq","p_gof_std_ml","p_gof_sb_ml","p_gof_mv_ml","p_gof_ss_ml","p_gof_peba4_ml","p_gof_all_ml","p_gof_std_rls","p_gof_sb_rls","p_gof_mv_rls","p_gof_ss_rls","p_gof_peba4_rls","p_gof_all_rls","p","n","distribution","truth","df","n_over_df","rho","cell_id"
25,TRUE,TRUE,TRUE,"","","",0,0.002,0.00600000000000001,0.038,0.048,0.002,0.00100000000000011,0.00299999999999989,0,FALSE,-1.60966019130385e-15,1.03082362082688,1.65116365150236,Inf,1.69732495921711,207.575097424773,3.07124992104946e-10,0.075,NA,NA,0.00729157105733688,0.011970258777153,0.111240825840886,0.109435452670984,0.031502011130117,0.110684349964699,0.0261893942689962,0.0393133549470032,0.168156947797944,0.169971491557517,0.0721370611357988,0.1644599448965,20,100,"normal","null",170,0.588235294117647,0,2
26,TRUE,TRUE,TRUE,"","","",0,0.004,0.012,0.052,0.071,0.00300000000000011,0.002,0.0069999999999999,0,FALSE,-3.0483684888066e-15,0.981309340852085,1.49503150705775,Inf,1.4628864586955,181.710833342732,2.41405473389023e-09,0.2,NA,NA,0.172170144141257,0.109158973593703,0.233024307864738,0.237973135960162,0.147804781034664,0.228385217337812,0.255575314594864,0.173735302407228,0.285368057586109,0.292695736626802,0.210157738897554,0.279293356384642,20,100,"normal","null",170,0.588235294117647,0,2
27,TRUE,TRUE,TRUE,"","","",0,0.00100000000000011,0.0069999999999999,0.036,0.0449999999999999,0.00100000000000011,0.00099999999999989,0.004,0,FALSE,-1.97483352995883e-15,1.00359223039448,1.5508549465749,Inf,1.55184565725071,166.887280237553,1.20920162771654e-09,0.59,NA,NA,0.223358369313434,0.20609956694197,0.311665705606917,0.320521324251515,0.240809501748532,0.304447595447951,0.553153101229664,0.530440018053825,0.497655676759183,0.509849388067675,0.515689923214398,0.489347292139079,20,100,"normal","null",170,0.588235294117647,0,2
28,TRUE,TRUE,TRUE,"","","",0,0.002,0.00600000000000001,0.0299999999999998,0.0379999999999998,0.002,0.00099999999999989,0.00300000000000011,0,FALSE,-2.00718911825524e-15,0.988858694912904,1.49035050733967,Inf,1.46944735439584,169.527980844227,2.24247287405888e-10,0.405,NA,NA,0.143163725477865,0.101859746155752,0.226189048977607,0.230791293467582,0.14075299679595,0.222058175261921,0.495790815192692,0.417713162768787,0.436271208400344,0.447543283496168,0.421645111394508,0.428777069101833,20,100,"normal","null",170,0.588235294117647,0,2
29,TRUE,TRUE,TRUE,"","","",0,0.002,0.0069999999999999,0.0369999999999999,0.0469999999999999,0.002,0.00099999999999989,0.004,0,FALSE,-1.60594976844317e-15,1.00700676495065,1.58576572464204,Inf,1.5921886059936,195.309300552057,2.19350226871029e-09,0.09,NA,NA,0.0110254373691518,0.00978824743624878,0.0982050783437438,0.0957749383765216,0.0267588680534813,0.0981935908109527,0.0892197776276014,0.0824173853103359,0.215239596361028,0.219713829301394,0.121332067348637,0.209242816435211,20,100,"normal","null",170,0.588235294117647,0,2
30,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00700000000000012,0.0489999999999999,0.0580000000000001,0.002,0.00100000000000011,0.004,0,FALSE,-2.86867115744404e-15,1.02205453694604,1.63646833267723,Inf,1.66777916441221,207.268188793425,3.87387899536407e-10,0.06,NA,NA,0.0032473681879239,0.00436529629895869,0.0781768006058698,0.0746397021696645,0.0157191849294041,0.079470941403011,0.0270884610432872,0.0337111423163402,0.157738389347019,0.158856129682512,0.0644416101841537,0.154856018254209,20,100,"normal","null",170,0.588235294117647,0,2
31,TRUE,TRUE,TRUE,"","","",0,0.002,0.00600000000000001,0.0349999999999999,0.0429999999999999,0.002,0.00099999999999989,0.00300000000000011,0,FALSE,-2.32942927140928e-15,0.991370189820696,1.55059594444384,Inf,1.53271100282975,204.581286731388,5.11931830260437e-10,0.025,NA,NA,0.00476709605019532,0.00252614092868402,0.058810432046977,0.0548616747506746,0.0106075832007509,0.0607138701012105,0.0361602566059174,0.0226034221172314,0.128967049641208,0.128290751027207,0.0480240051385962,0.127986509811624,20,100,"normal","null",170,0.588235294117647,0,2
32,TRUE,TRUE,TRUE,"","","",0,0.002,0.00700000000000012,0.0309999999999999,0.0430000000000001,0.002,0.00100000000000011,0.004,0,FALSE,-1.99891280599344e-15,1.01357217193911,1.58628585645467,Inf,1.60313680995796,209.5648010831,1.52823531607282e-10,0.05,NA,NA,0.00474101433680001,0.00491689120010372,0.0771457694693077,0.0737134065040799,0.0167723137980396,0.0784614320503213,0.0209636222719546,0.0215915219408453,0.130033642958952,0.12940807495954,0.0466564204117409,0.128856701227338,20,100,"normal","null",170,0.588235294117647,0,2
33,TRUE,TRUE,TRUE,"","","",0,0.00100000000000011,0.0069999999999999,0.036,0.0449999999999999,0.002,0.00099999999999989,0.00300000000000011,0,FALSE,-3.33628069365836e-15,1.03011078281504,1.57930243394482,Inf,1.62234399008352,165.258210827813,1.35202071760432e-10,0.71,NA,NA,0.239278948924355,0.301989616938707,0.372505004462353,0.38365358784737,0.325009009879589,0.364064833873804,0.58836468609799,0.658001843613735,0.566979917951053,0.578752630904382,0.623341486201869,0.559629527565678,20,100,"normal","null",170,0.588235294117647,0,2
34,TRUE,TRUE,TRUE,"","","",0,0.002,0.0069999999999999,0.036,0.046,0.002,0.00099999999999989,0.004,0,FALSE,-2.63633263667216e-15,1.00684760431625,1.52770730032378,Inf,1.53365302500346,178.805030395181,4.69299266114831e-10,0.34,NA,NA,0.162288614412343,0.15382150963985,0.272712955544955,0.279747953602565,0.192925080610358,0.267320425697784,0.306594065480121,0.294592682940448,0.366238540703294,0.376615690648663,0.318249269655365,0.359149711956617,20,100,"normal","null",170,0.588235294117647,0,2
35,TRUE,TRUE,TRUE,"","","",0,0.002,0.00800000000000001,0.034,0.044,0.002,0.00100000000000011,0.00299999999999989,0,FALSE,-2.13060940878161e-15,0.9844109448803,1.56588925783133,Inf,1.53701713385167,199.420235619726,4.86238604935352e-10,0.06,NA,NA,0.0130478955053694,0.00617465631856386,0.082037345954007,0.078865178787617,0.0189056984581309,0.0829285340033377,0.0608751660206446,0.0345177352619755,0.152849638334347,0.153584684805233,0.0636778937377476,0.149691211062268,20,100,"normal","null",170,0.588235294117647,0,2
36,TRUE,TRUE,TRUE,"","","",0,0.002,0.0069999999999999,0.0349999999999999,0.0439999999999998,0.002,0.00099999999999989,0.004,0,FALSE,-2.03545198876106e-15,0.997972737600406,1.54962830697505,Inf,1.54193293714903,145.699504854213,3.1827198654355e-09,0.89,NA,NA,0.804104635487562,0.7767178624371,0.642452311335234,0.651784413971225,0.732306371471427,0.636621874565277,0.911472473815272,0.895510750876128,0.736703075381453,0.741790117870843,0.851638089286791,0.735026998951104,20,100,"normal","null",170,0.588235294117647,0,2
37,TRUE,TRUE,TRUE,"","","",0,0.002,0.00600000000000001,0.0370000000000001,0.0470000000000002,0.002,0.00099999999999989,0.00300000000000011,0,FALSE,-3.31309022782024e-15,1.00197310698127,1.55738668160597,Inf,1.55586446696811,188.324816431335,1.41312739287969e-10,0.195,NA,NA,0.0552474627215802,0.0459718482923153,0.169000201076025,0.170674786861601,0.0792168690254636,0.166017577288991,0.159616481226824,0.139310675919004,0.263404502291025,0.270210144372246,0.178712823581484,0.256885176115179,20,100,"normal","null",170,0.588235294117647,0,2
38,TRUE,TRUE,TRUE,"","","",0,0.002,0.00800000000000001,0.0349999999999999,0.0449999999999999,0.002,0.00099999999999989,0.004,0,FALSE,-1.52559718268161e-15,0.987511042090685,1.50054530480622,Inf,1.47749316366253,178.988724192506,7.73070496506989e-12,0.27,NA,NA,0.104429169960146,0.0691963624190143,0.193507234620013,0.196437956571046,0.106161149279776,0.190589815452208,0.303222525124251,0.231361755659601,0.325781268851337,0.334708066132303,0.262905367934732,0.319510529564627,20,100,"normal","null",170,0.588235294117647,0,2
39,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00700000000000012,0.0359999999999996,0.0449999999999999,0.00199999999999978,0.00100000000000033,0.004,0,FALSE,-1.37745239561867e-15,1.03036601175419,1.6967199710109,Inf,1.74335759517944,192.691021678226,1.50919277075445e-10,0.17,NA,NA,0.0314200118102365,0.046916151105224,0.183144673606323,0.186052399876401,0.0813692193153464,0.175286373559271,0.112083025714481,0.150366812105004,0.281558734034454,0.290325176630467,0.19030951829396,0.268522871224148,20,100,"normal","null",170,0.588235294117647,0,2
40,TRUE,TRUE,TRUE,"","","",0,0.00199999999999978,0.00600000000000023,0.0289999999999999,0.0390000000000001,0.00200000000000022,0.00099999999999989,0.00300000000000011,0,FALSE,-1.54675013467422e-15,0.998492351011656,1.54819546020433,Inf,1.54130870530235,160.046093284867,1.57086788021843e-10,0.7,NA,NA,0.562049967304039,0.522117951088892,0.493167987572124,0.505358576188001,0.508893169717732,0.484297279765945,0.696511335999924,0.660929091227008,0.570487090432258,0.581820166683499,0.627205591526722,0.562931599740179,20,100,"normal","null",170,0.588235294117647,0,2
41,TRUE,TRUE,TRUE,"","","",0,0.00300000000000011,0.00700000000000012,0.0339999999999998,0.0449999999999999,0.00200000000000022,0.00099999999999989,0.004,0,FALSE,-2.09808057197399e-15,1.00024956575352,1.57906224015527,Inf,1.57480402829773,192.175323614812,1.46940237755189e-11,0.095,NA,NA,0.069960553894526,0.0565799625944082,0.185319327022714,0.188018582753015,0.0915447529007263,0.180677140644202,0.11706788425809,0.0973589284504859,0.229159864114168,0.234364218869787,0.136341819288337,0.222517656567645,20,100,"normal","null",170,0.588235294117647,0,2
42,TRUE,TRUE,TRUE,"","","",0,0.00199999999999978,0.00700000000000012,0.036,0.0449999999999999,0.00200000000000022,0.00099999999999989,0.004,0,FALSE,-2.10485910168129e-15,1.02025266913699,1.59002556219574,Inf,1.61757631877075,174.704377633837,1.688249540166e-11,0.415,NA,NA,0.168204686539218,0.193007020796771,0.305186288754847,0.314149769405989,0.229562703824229,0.297479804709858,0.386329994072824,0.422021642930045,0.439052526284337,0.4515281966722,0.425335914995506,0.429765131903259,20,100,"normal","null",170,0.588235294117647,0,2
43,TRUE,TRUE,TRUE,"","","",0,0.00199999999999978,0.00700000000000012,0.0329999999999999,0.0419999999999998,0.00200000000000022,0.00099999999999989,0.004,0,FALSE,-1.6777960889796e-15,1.0185698366815,1.57845557492913,Inf,1.60313909019315,175.052259012476,1.75646164279897e-11,0.475,NA,NA,0.107437115926188,0.122798366564345,0.25199948242682,0.258429614274555,0.163566656125428,0.246067685003437,0.379267315777382,0.408722214731783,0.431854723780559,0.444133306457699,0.414306173162697,0.422921171996083,20,100,"normal","null",170,0.588235294117647,0,2
44,TRUE,TRUE,TRUE,"","","",0,0.004,0.00599999999999978,0.024,0.0339999999999998,0.00099999999999989,0.00099999999999989,0.004,0,FALSE,-1.24776342512779e-15,0.995158525985937,1.55380504989055,Inf,1.54173534785857,188.425885947537,4.16719103668584e-10,0.145,NA,NA,0.0094527136364741,0.00606372785233717,0.0803087868497909,0.0771014827198661,0.0190393380754424,0.0814710742742769,0.158376197028542,0.124098912242913,0.250974600872955,0.257174675823238,0.163723669031249,0.245109154212519,20,100,"normal","null",170,0.588235294117647,0,2
45,TRUE,TRUE,TRUE,"","","",0,0.00200000000000022,0.00599999999999978,0.0670000000000002,0.0760000000000001,0.00199999999999978,0.00100000000000033,0.00299999999999967,0,FALSE,-3.45326431549148e-15,1.03191684338773,1.64406695748492,Inf,1.69184428509602,224.255808354276,3.43050032824976e-11,0.015,NA,NA,0.00266873020715189,0.00468652396774764,0.0804768773291587,0.0770295771413374,0.0168592226658172,0.0816337672607717,0.00333847120984548,0.00578121851878795,0.0862912855314741,0.0831243675634802,0.0194206066582995,0.0871744956290731,20,100,"normal","null",170,0.588235294117647,0,2
46,TRUE,TRUE,TRUE,"","","",0,0.00300000000000011,0.012,0.0670000000000002,0.0830000000000002,0.00300000000000011,0.00199999999999978,0.00700000000000012,0,FALSE,-3.41667645426274e-15,0.990365952374955,1.51045352924963,Inf,1.4915266621021,196.020162136091,5.37397681910079e-10,0.075,NA,NA,0.0120445210958379,0.00675960085167227,0.0798124506072615,0.0767064115146731,0.0205540821582549,0.0809234886183458,0.0836878716405752,0.0561089488623094,0.178598525015249,0.180731062915917,0.0913846711004196,0.176124313837212,20,100,"normal","null",170,0.588235294117647,0,2
47,TRUE,TRUE,TRUE,"","","",0,0.00300000000000011,0.00699999999999967,0.0450000000000004,0.056,0.00199999999999978,0.00099999999999989,0.004,0,FALSE,-2.44730106198581e-15,1.0122390301493,1.64135603892808,Inf,1.65659604764255,202.058230964436,1.39968392431911e-09,0.05,NA,NA,0.00594176665531184,0.00600192903108761,0.0874776962701859,0.0843672562502332,0.0190708063292516,0.0880488880124204,0.0469097510007378,0.0472489247537161,0.178812764507428,0.181288767559428,0.0809867905621665,0.173697357968065,20,100,"normal","null",170,0.588235294117647,0,2
48,TRUE,TRUE,TRUE,"","","",0,0.00199999999999978,0.00800000000000001,0.0250000000000004,0.036,0.00300000000000011,0.00099999999999989,0.004,0,FALSE,-2.73191770144595e-15,1.00323887245851,1.54995656184672,Inf,1.5503998502274,171.963922312084,1.16747855827271e-09,0.41,NA,NA,0.172085853245634,0.155831447503642,0.276057934822896,0.283435949567296,0.194345491004181,0.269311694591643,0.443448433894603,0.418337837647224,0.436913390820167,0.44889659373729,0.422205553515334,0.427911416174047,20,100,"normal","null",170,0.588235294117647,0,2
49,TRUE,TRUE,TRUE,"","","",0,0.00199999999999978,0.00599999999999978,0.0339999999999998,0.0429999999999997,0.00099999999999989,0.00199999999999978,0.00300000000000011,0,FALSE,-3.39088569560435e-15,1.01258320292615,1.61172286039601,Inf,1.62724505883634,202.453387208962,2.58026489063923e-09,0.05,NA,NA,0.00607982153150363,0.00619741804933258,0.0858200086802121,0.0827063633146569,0.0198545066624435,0.0867047297782946,0.0450679481665405,0.0456967359882482,0.173897663528534,0.175990147682012,0.0797863477155504,0.170387791403118,20,100,"normal","null",170,0.588235294117647,0,2
50,TRUE,TRUE,TRUE,"","","",0,0.00200000000000022,0.0089999999999999,0.0230000000000001,0.0659999999999998,0.00199999999999978,0.00100000000000033,0.00599999999999978,0,FALSE,-2.33633294101357e-15,1.01176254673087,1.56348742619219,Inf,1.57726243608696,160.455872898755,5.54223333892878e-12,0.72,NA,NA,0.522065606582513,0.530550440170791,0.497421291851259,0.50976915796983,0.515824783496564,0.488475272241678,0.688386609482158,0.695766247163129,0.590173481118651,0.601219778206866,0.657466443424255,0.583007691333022,20,100,"normal","null",170,0.588235294117647,0,2
51,TRUE,TRUE,TRUE,"","","",0,0.00200000000000022,0.00700000000000012,0.0339999999999998,0.0430000000000001,0.00300000000000011,0.00099999999999989,0.00300000000000011,0,FALSE,-2.36081427036143e-15,1.01570733990566,1.59622445708676,Inf,1.61659765405918,216.583484829552,1.95703364624933e-09,0.015,NA,NA,0.00254853224416712,0.00279638446957186,0.0644161399001368,0.0604708834144347,0.0115986287052486,0.0662105160129594,0.0090870959387524,0.00983942645744252,0.0991847914372789,0.0967884931092836,0.0272870904993584,0.099501847223125,20,100,"normal","null",170,0.588235294117647,0,2
52,TRUE,TRUE,TRUE,"","","",0,0.00200000000000022,0.00700000000000012,0.0319999999999996,0.0409999999999999,0.00199999999999978,0.00100000000000033,0.00299999999999967,0,FALSE,-2.94644837647903e-15,1.0023692602467,1.55686112186965,Inf,1.55595491302025,177.318773337235,2.3709390006843e-10,0.315,NA,NA,0.137038584028257,0.120737896242477,0.248333262998408,0.254417556898981,0.160929640508766,0.242264858333524,0.334545253740061,0.307427082956059,0.374835377518,0.385760702932927,0.32918550660948,0.366117033372863,20,100,"normal","null",170,0.588235294117647,0,2
53,TRUE,TRUE,TRUE,"","","",0,0.00199999999999978,0.00700000000000012,0.0350000000000001,0.044,0.00200000000000022,0.00099999999999989,0.004,0,FALSE,-1.97366164401877e-15,1.00128902615681,1.50554692487564,Inf,1.50304784035798,144.291769346639,3.39355210599024e-11,0.95,NA,NA,0.849554862838661,0.834080457881418,0.688122822655229,0.695306862874314,0.786590947482928,0.684799164282632,0.924327760175421,0.914910914107408,0.761815760906956,0.76536140189918,0.872383249212199,0.761054959106897,20,100,"normal","null",170,0.588235294117647,0,2
54,TRUE,TRUE,TRUE,"","","",0,0.00199999999999978,0.00600000000000023,0.028,0.0369999999999999,0.00200000000000022,0.00099999999999989,0.00300000000000011,0,FALSE,-4.3491962630566e-15,1.01970421103803,1.57063588128381,Inf,1.59698809662764,185.245682919571,3.39895223078202e-10,0.29,NA,NA,0.0359612071963698,0.0432932506023697,0.166847311436353,0.168428311693878,0.0762993419496708,0.164128148377413,0.200673761269836,0.224777315163617,0.325125803607515,0.334685761110014,0.257710363737809,0.317255661317043,20,100,"normal","null",170,0.588235294117647,0,2
55,TRUE,TRUE,TRUE,"","","",0,0.00200000000000022,0.00599999999999978,0.0190000000000001,0.028,0.00199999999999978,0.00099999999999989,0.00300000000000011,0,FALSE,-1.14763436842263e-15,0.978884078122807,1.45946614875695,Inf,1.42459657444354,134.088791634832,8.4980911196908e-12,0.975,NA,NA,0.932620327419993,0.892126371747895,0.743607520280514,0.74794084151978,0.848697831713985,0.742245059383316,0.980666245910128,0.965275631406266,0.836525570659747,0.835699645180288,0.937128138135604,0.838553521458184,20,100,"normal","null",170,0.588235294117647,0,2
56,TRUE,TRUE,TRUE,"","","",0.00099999999999989,0.00200000000000022,0.00699999999999967,0.044,0.0539999999999998,0.00199999999999978,0.00099999999999989,0.004,0,FALSE,-3.08818371368494e-15,1.00810913022935,1.60984941108491,Inf,1.61814392175709,181.519799470885,4.35846914115245e-10,0.27,NA,NA,0.0310692050431529,0.0293379137556117,0.147784348313363,0.148247235323622,0.0575243431521667,0.145225591846182,0.25877213889706,0.250990595162989,0.343329334674822,0.353899901328856,0.280442194759443,0.333276381266212,20,100,"normal","null",170,0.588235294117647,0,2
57,TRUE,TRUE,TRUE,"","","",0,0.00199999999999978,0.00700000000000012,0.0369999999999999,0.048,0.00200000000000022,0.00099999999999989,0.004,0,FALSE,-1.68450843706268e-15,0.980761344595352,1.45800441889763,Inf,1.42587221815159,154.083221304897,3.18038928526221e-11,0.805,NA,NA,0.732897771837167,0.64133073990024,0.563988416303452,0.574417414280275,0.611750578129254,0.557415433392783,0.803798517234899,0.725048396608679,0.615781561408896,0.625078067383558,0.686110030462619,0.610349153116309,20,100,"normal","null",170,0.588235294117647,0,2
58,TRUE,TRUE,TRUE,"","","",0,0.00199999999999978,0.00600000000000023,0.0429999999999997,0.0529999999999999,0.00200000000000022,0.00099999999999989,0.00300000000000011,0,FALSE,-1.44355912624988e-15,0.991062061659927,1.5472159709427,Inf,1.5288965620516,205.727309619205,6.01175997871906e-10,0.025,NA,NA,0.0489386787095168,0.031188091381922,0.144703847258353,0.144937713477326,0.059601726230976,0.143040001272825,0.0320155921197484,0.0196140442443861,0.121586799929064,0.120497013073221,0.0428705815301787,0.120949438553003,20,100,"normal","null",170,0.588235294117647,0,2
59,TRUE,TRUE,TRUE,"","","",0,0.00300000000000011,0.00800000000000001,0.0419999999999998,0.0539999999999998,0.00299999999999967,0.00099999999999989,0.00300000000000011,0,FALSE,-3.50475541854813e-15,1.00551716420806,1.56642402480091,Inf,1.57043655422571,165.976874508139,8.24883272798616e-10,0.55,NA,NA,0.348908652552856,0.334319621939846,0.390569155618542,0.40197727437,0.351747926486587,0.381440583096996,0.572872818249773,0.557549117374381,0.511927210405291,0.524249740224666,0.538599676656687,0.503111877203521,20,100,"normal","null",170,0.588235294117647,0,2
60,TRUE,TRUE,TRUE,"","","",0,0.00200000000000022,0.00800000000000001,0.0389999999999997,0.0489999999999999,0.00199999999999978,0.00100000000000033,0.00499999999999989,0,FALSE,-2.38494974838611e-15,0.99387661048863,1.49110251814027,Inf,1.47761943485004,148.95083988404,5.35038680027355e-10,0.91,NA,NA,0.668677397552597,0.617933008020054,0.548491968185441,0.559560640772028,0.590667202108392,0.541500154138847,0.87612661558714,0.84689034277158,0.699803733712893,0.70638337966554,0.80078004010748,0.696828855009727,20,100,"normal","null",170,0.588235294117647,0,2
61,TRUE,TRUE,TRUE,"","","",0,0.00199999999999978,0.00700000000000012,0.0529999999999999,0.0629999999999997,0.00200000000000022,0.00099999999999989,0.00300000000000011,0,FALSE,-4.34280859705261e-15,1.00352638531609,1.54893287651918,Inf,1.54982052951728,192.765221612751,3.43385408996255e-09,0.105,NA,NA,0.0460369111589447,0.0390918726704498,0.158367923878359,0.159408124219194,0.0706333339314087,0.156193946147066,0.111379179648658,0.0977046815136013,0.227089581445315,0.232030291764863,0.137337233912557,0.222296715440058,20,100,"normal","null",170,0.588235294117647,0,2
62,TRUE,TRUE,TRUE,"","","",0.00100000000000033,0.00199999999999978,0.00800000000000001,0.0489999999999999,0.0609999999999999,0.00200000000000022,0.00099999999999989,0.00499999999999989,0,FALSE,-2.40001137261491e-15,1.00033586593748,1.51785375228373,Inf,1.51389122307066,147.190125613357,1.39550593303284e-11,0.915,NA,NA,0.563078629884842,0.532752451916568,0.499627120556323,0.511453262905985,0.517767518854227,0.491957240145678,0.896266219149559,0.882387006649883,0.727544197920658,0.732966393458519,0.836328536892111,0.72561348846583,20,100,"normal","null",170,0.588235294117647,0,2
63,TRUE,TRUE,TRUE,"","","",0,0.00199999999999978,0.00600000000000023,0.0339999999999998,0.0429999999999997,0.00200000000000022,0.00099999999999989,0.00300000000000011,0,FALSE,-2.36889322939656e-15,1.00455108115954,1.59054702714242,Inf,1.59308593541182,222.308541066057,9.71624558587791e-10,0.01,NA,NA,0.000661116679999116,0.000484339607998878,0.035531573185566,0.0312269408423476,0.0035601243542557,0.0381345413575737,0.00434091365222701,0.00335470067398397,0.0678783069491782,0.0640772483847323,0.0129877673243345,0.0695830146603165,20,100,"normal","null",170,0.588235294117647,0,2
64,TRUE,TRUE,TRUE,"","","",0,0.00200000000000022,0.00599999999999978,0.0380000000000003,0.0470000000000002,0.00099999999999989,0.00099999999999989,0.00300000000000011,0,FALSE,-1.26065343425984e-15,0.991551310838834,1.56520721880657,Inf,1.54743494457926,196.202498596701,5.29155386175262e-10,0.09,NA,NA,0.0040216015404753,0.00215136016545606,0.056753809632247,0.0526989543039537,0.00941775197943658,0.058836468382152,0.0823134088263925,0.056406281241605,0.183997136581839,0.186583358130662,0.0918030292719563,0.180106534461199,20,100,"normal","null",170,0.588235294117647,0,2
65,TRUE,TRUE,TRUE,"","","",0,0.00199999999999978,0.00800000000000001,0.0369999999999999,0.0479999999999996,0.00200000000000022,0.00199999999999978,0.004,0,FALSE,-2.42960489505893e-15,1.01299333694094,1.55784261226637,Inf,1.57348956455195,179.417386772113,2.18932427742402e-10,0.335,NA,NA,0.098127282931306,0.102252756064219,0.232133784260296,0.237393216180683,0.142272092596862,0.227176808260375,0.295428856858309,0.303367835535446,0.372533200791324,0.383422347519971,0.325733320679631,0.364397071874056,20,100,"normal","null",170,0.588235294117647,0,2
66,TRUE,TRUE,TRUE,"","","",0,0.00199999999999978,0.00700000000000012,0.0390000000000001,0.048,0.00200000000000022,0.00199999999999978,0.00300000000000011,0,FALSE,-2.75482911968212e-15,1.01920077094252,1.56475369771321,Inf,1.59021659617019,173.618945014284,1.14255271910224e-11,0.445,NA,NA,0.119608639525908,0.137598628247753,0.262991111232462,0.269867616172941,0.177710687900897,0.256983599288804,0.408660964606903,0.441145471739952,0.449301915808102,0.461581908944316,0.441217035440646,0.440707326750256,20,100,"normal","null",170,0.588235294117647,0,2
67,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.0089999999999999,0.0380000000000003,0.0489999999999999,0.00200000000000022,0.00199999999999978,0.004,0,FALSE,-2.0685933147278e-15,1.00006165440844,1.58895654684122,Inf,1.58437393110988,193.428574935879,6.43751718598651e-11,0.095,NA,NA,0.0447572396599907,0.0351888369129976,0.155542264371908,0.156458749114424,0.0653100472211645,0.152904846850932,0.105234584041233,0.0865917126123013,0.219320725813296,0.224017588798995,0.125403842487898,0.213747670729174,20,100,"normal","null",170,0.588235294117647,0,2
68,TRUE,TRUE,TRUE,"","","",0,0.00200000000000022,0.00699999999999967,0.0270000000000001,0.0369999999999999,0.00199999999999978,0.00099999999999989,0.004,0,FALSE,-2.45300425646147e-15,1.00121524578038,1.58800928937614,Inf,1.58525638806058,210.394451853772,6.54409859635052e-10,0.02,NA,NA,0.00469668506642918,0.00335548861514731,0.0678364055998707,0.0640358616342893,0.0127414961439664,0.0695275884190656,0.0190693289363421,0.0144525621894314,0.112759871040225,0.111126131333816,0.0348895985806734,0.112120146322913,20,100,"normal","null",170,0.588235294117647,0,2
69,TRUE,TRUE,TRUE,"","","",0,0.00200000000000022,0.00599999999999978,0.0270000000000001,0.036,0.00099999999999989,0.00099999999999989,0.00300000000000011,0,FALSE,-2.06776400493482e-15,0.994358729274949,1.53093108149532,Inf,1.51782122720124,155.618111200019,5.82360826228978e-11,0.805,NA,NA,0.425266809789756,0.371864133137598,0.411016579429145,0.422420716431369,0.383284828141585,0.402559170874515,0.778366853282622,0.736614061326362,0.617479723169392,0.627471782148258,0.694528616320748,0.611547592962627,20,100,"normal","null",170,0.588235294117647,0,2
70,TRUE,TRUE,TRUE,"","","",0,0.00200000000000022,0.00599999999999978,0.0390000000000001,0.048,0.00199999999999978,0.00099999999999989,0.00300000000000011,0,FALSE,-2.76516838183708e-15,0.990841808942094,1.53036636897173,Inf,1.5119122850423,189.606087355039,1.32729383039987e-11,0.13,NA,NA,0.00687014657329185,0.00378346535811915,0.0663055861032931,0.0626364123444156,0.0136392381951411,0.0679236465940525,0.144392618870773,0.104254290080973,0.231840441367507,0.236943545808691,0.143426548532921,0.226153215521832,20,100,"normal","null",170,0.588235294117647,0,2
71,TRUE,TRUE,TRUE,"","","",0,0.00200000000000022,0.00800000000000001,0.0409999999999999,0.0510000000000002,0.00199999999999978,0.00100000000000033,0.004,0,FALSE,-1.38414332149694e-15,1.00789852579205,1.54319299989138,Inf,1.55082066374588,154.418924472604,3.35006689056172e-10,0.815,NA,NA,0.530785837688803,0.526454594484298,0.495600969550481,0.507742096635502,0.512414740451726,0.487086810229379,0.798378607624462,0.795386888554547,0.655681460003233,0.66448984669677,0.748756142684074,0.650799207626284,20,100,"normal","null",170,0.588235294117647,0,2
72,TRUE,TRUE,TRUE,"","","",0,0.00300000000000011,0.0100000000000002,0.0840000000000001,0.1,0.004,0.00200000000000022,0.004,0,FALSE,-1.53341011112911e-15,1.00852469627453,1.5507408550486,Inf,1.5593770829466,150.058620666769,5.02495822729543e-11,0.9,NA,NA,0.52618508655971,0.525079792719322,0.494684511973848,0.506921446074383,0.51135426143055,0.486046982458507,0.862227202040786,0.861637594505399,0.70564913372085,0.712344965811627,0.814619729293995,0.702605997224335,20,100,"normal","null",170,0.588235294117647,0,2
73,TRUE,TRUE,TRUE,"","","",0,0.00300000000000011,0.012,0.0529999999999999,0.069,0.004,0.00099999999999989,0.00700000000000012,0,FALSE,-2.5187877010794e-15,0.994990487421408,1.53466109429338,Inf,1.52248371012792,184.558203145672,1.46476963891473e-09,0.185,NA,NA,0.0797859453874391,0.0591756553099619,0.18450154250251,0.187026059065715,0.0948870254519647,0.181121596081293,0.210707442355101,0.16956100699315,0.285043119511899,0.292677129025945,0.207156327893415,0.278367502080946,20,100,"normal","null",170,0.588235294117647,0,2
